FEN,Evaluation
5k2/2Q5/3P1r1p/4pP2/Pp4K1/3r4/7P/8 w - - 1 68,#+0
7k/4p2p/p5pP/3rp1P1/2p5/8/PP3R1K/8 w - - 0 46,#+1
R7/5k2/7p/2nN1P2/5PP1/6PK/1q6/R7 w - - 2 47,#+10
7k/5q1r/pPpQnP1p/P1Pp2pP/6N1/8/6P1/2R3K1 w - - 2 45,#+11
2r3k1/4pQb1/1q1pP3/r4pN1/1np5/2N2R1P/PP1BK1P1/8 b - - 6 28,#+12
2r2rk1/2q2p2/p2p4/3PbNP1/1n5Q/7P/1nP2RB1/R6K w - - 0 31,#+13
4qk1r/pR2n2p/1b4p1/2p1N3/8/BQ6/P4PPP/6K1 w - - 0 23,#+14
5Q2/3R3p/2pN1pp1/2P4k/7P/6P1/3r1PK1/4q3 w - - 3 44,#+15
8/1P6/8/3k4/8/8/8/1K6 b - - 0 70,#+16
5k2/2Q5/3P1r1p/4pP2/Pp4K1/3r4/7P/8 w - - 1 68,#+17
3r4/p7/3Pp3/1k2n3/Q7/1r6/5K1P/R7 b - - 1 32,#+18
1k6/4K3/8/1Q6/8/8/8/2r5 b - - 30 84,#+19
r1b4k/pp4pB/4p3/2Pp1r1Q/1n1P4/2R5/qP3bPP/2BR3K w - - 2 23,#+2
8/1KP2k2/8/4R3/8/8/8/2r5 b - - 4 56,#+20
6r1/6P1/5P2/8/3K1k2/8/7p/4R3 b - - 1 80,#+21
6Q1/8/3p3K/4pk2/8/8/8/8 b - - 0 49,#+22
5Q2/5q1k/6p1/7p/8/5P2/1r4rP/6RK w - - 0 45,#+23
8/4k3/4P1RP/8/3n1NK1/6P1/8/4r3 w - - 1 60,#+24
3R1r2/2P5/1k6/4p3/8/8/4K1p1/8 w - - 0 63,#+25
3kn3/2P2K2/1p1P1p2/7P/2B5/8/8/8 b - - 0 53,#+26
2B5/8/PP1k4/K2b4/7p/8/8/8 b - - 4 61,#+27
8/2PQ4/5kp1/2q4p/7P/6P1/5P1K/8 w - - 5 51,#+28
1kn3r1/1pP2p2/1n3b1p/Q3PP1q/8/P2BB2p/1P6/1K3R2 b - - 0 33,#+29
8/5K1k/6P1/R7/5n2/8/8/8 b - - 0 71,#+3
8/7k/1P6/3Q4/q5p1/6P1/5PK1/8 w - - 2 66,#+30
8/4P3/7k/4P3/4N1K1/2P1r3/8/8 b - - 0 69,#+31
8/PQ6/6p1/8/4p1pk/3q4/5PKP/8 w - - 1 58,#+32
7k/2P2Qp1/4p2p/2q4P/8/6P1/5P1K/8 w - - 1 43,#+33
8/3k2P1/5K2/8/4R3/6r1/8/8 b - - 14 63,#+34
2K5/8/2QP4/q3k3/8/8/8/8 b - - 4 78,#+35
6k1/4Q1p1/7p/6P1/7P/4K3/3r4/8 b - - 8 48,#+36
Q2Q4/7p/2p3k1/2q1K3/P7/8/8/8 w - - 11 56,#+37
8/2K5/5kP1/8/4B3/8/8/8 b - - 0 81,#+38
3K4/k5P1/8/4Q3/8/3q4/8/8 w - - 5 99,#+39
8/5P2/4K3/8/4N2k/8/8/8 b - - 0 69,#+4
8/4P2p/r7/3k1P2/8/p5KP/R7/8 b - - 0 58,#+40
2Q5/8/7p/6p1/1p6/4p1k1/1P6/4K3 b - - 0 48,#+41
8/P7/8/2K3k1/7p/1b5P/8/8 b - - 0 49,#+42
r7/PR6/2P3k1/8/8/8/1K6/8 b - - 0 67,#+43
q7/6P1/6K1/8/1Q6/8/8/k7 w - - 17 102,#+44
8/8/3P4/1n2PK2/1k6/8/8/8 w - - 0 58,#+46
5K2/4Q1P1/2kq4/8/8/8/8/8 b - - 4 109,#+47
8/3q1PK1/8/6Q1/8/8/8/1k6 w - - 13 87,#+48
8/2kr4/5Q2/2K5/8/8/8/8 b - - 44 141,#+49
rnbq2kr/pp1p1p1p/1b5B/3QpN2/2B1n3/N1P5/PP2K1PP/R6R b - - 0 18,#+5
3k4/8/2pr3P/6B1/4R3/6K1/1P3P2/4n3 b - - 0 46,#+50
8/8/3Pn1P1/4p3/4Pp2/5K1k/8/8 w - - 1 88,#+51
